survey,journal,year,title,author,cited,elibrary_id,surveys_used
ВНДН,Управление экономическими системами: электронный научный журнал,2012,влияние денежно-кредитной экспансии на долгосрочную эффективность экономики,"Князев А.Г., Хачатрян А.К.",0,21594452,ВНДН
ВНДН,Управление экономическими системами: электронный научный журнал,2012,влияние налоговой политики региона на инвестиционную активность предприятий,Дзагоева М.Р.,30,29206892,ВНДН
ВНДН,Вестник Северо-Кавказского гуманитарного института,2012,влияние экономических кластеров на конкурентоспособность и инновационное развитие региона,Вечер А.В.,0,18374456,ВНДН
ВНДН,МИР (Модернизация. Инновации. Развитие),2012,влияние экономического кризиса на предпринимательство россии,"Егоршин А.П., Коробейников И.О., Савруков Н.Т.",6,20296827,ВНДН
ВНДН,Экономика образования,2012,внешние факторы кризиса в малой открытой экономике,Кузьминов С.В.,0,19049240,ВНДН
ВНДН,Никоновские чтения,2012,вопросы обеспечения статистической информацией для оценки состояния продовольственной безопасности страны,Бакирова Р.Р.,18,21592670,ВНДН
ВНДН,Глобальный научный потенциал,2012,вопросы применения выборочного наблюдения в статистической практике,Абдулов С.Ю.,0,17891350,ВНДН
ВНДН,Вісник Маріупольського державного університету. Сер.: Економіка,2012,гармонизация измерения инфляции в условиях интеграции стран евразэс,Шевчук А.Ю.,0,22545028,ВНДН
ВНДН,Никоновские чтения,2012,географические информационные системы и статистические данные в привязке к географической карте,Корбут Л.С.,0,21592701,ВНДН
ВНДН,Ученые записки Таврического национального университета имени В.И. Вернадского. Серия: География,2012,геомаркетинговые подходы к изучению перспектив развития водной рекреации в севастополе,"Лазицкая Н.Ф., Яковенко И.М.",6,24397984,ВНДН
ВНДН,Экономика. Бизнес. Банки,2012,глава 4. системная оценка эффективности кредитования малых предприятий,"",0,21982236,ВНДН
ВНДН,Вестник Московского университета. Серия 18. Социология и политология,2012,государство в контексте социально-экономического знания и модернизационного развития,Васильев В.П.,0,18013553,ВНДН
ВНДН,Историческая демография,2012,демографические и этнические процессы в казанской губернии,Гасанов И.М.,0,25819535,ВНДН
ВНДН,Научно-практический журнал ТИППМК,2012,"детерминирующие элементы качества жизни, связанные со стоматологическим аспектом здоровья у жителей кухистон матчохского района","Бобоев К.Р., Ашуров Г.Г.",0,20468660,ВНДН
ВНДН,Вестник Томского государственного университета,2012,дифференциация инновационных показателей регионов россии в зависимости от типа инноваций и отраслевой специализации,"Спицын В.В., Монастырный Е.А.",13,17690445,ВНДН
ВНДН,Alma Mater (Вестник высшей школы),2012,доверие: постсоветский формат,Сычева А.А.,0,17891771,ВНДН
ВНДН,Уровень жизни населения регионов России,2012,доходность сельских товаропроизводителей: методология исследования,"Афанасьев В.Н., Даньшин Д.С., Шеврина Е.В.",3,18126285,ВНДН
ВНДН,Вестник Бурятского государственного университета,2012,жизненное и экономическое пространство региона: факторы и механизмы модернизации,"Атанов Н.И., Бадмаева М.В., Егоров М.М.",1,17876288,ВНДН
ВНДН,Вопросы экономики,2012,за пределами ввп: в поисках меры общественного благосостояния. часть ii,Флербе М.,33,17368261,ВНДН
ВНДН,Общество и экономика,2012,занятость населения в контексте= государственной поддержки== малого бизнеса=,Борзенков Р.,1,18087562,ВНДН
ВНДН,Вестник Адыгейского государственного университета. Серия 2: Филология и искусствоведение,2012,имидж российских органов внутренних дел в 2012 году: предварительные итоги реформы (по результатам комплексного изучения общественного мнения),Шакалов И.И.,5,18373001,ВНДН
ВНДН,Проблемы современной экономики,2012,информационно-методическая система маркетинга регионального продовольственного рынка,Богер И.Б.,13,17973542,ВНДН
ВНДН,Молочнохозяйственный вестник,2012,использование статистических методов при анализе потребления продуктов питания населением региона,"Медведева Н.А., Кужелева Н.Д.",5,18795179,ВНДН
ВНДН,Вестник Пермского университета. Философия. Психология. Социология,2012,"использование экономических моделей для определения факторов, влияющих на потребление алкоголя и табака",Моисеенко А.И.,0,18999910,ВНДН
ВНДН,Сервис plus,2012,исследование основных тенденций развития внутреннего туристского рынка (на примере краснодарского края),"Романова Г.М., Матющенко Н.С.",23,17885426,ВНДН
ВНДН,Вестник Челябинского государственного университета,2012,исторический анализ уголовно-правового регулирования отношений по использованию недр,Галямова С.С.,0,18751011,ВНДН
ВНДН,Вестник НГУЭУ,2012,итоговая оценка качества выборочного обследования,Шмарихина Е.С.,13,17635941,ВНДН
ВНДН,Вестник Академии Генеральной прокуратуры Российской Федерации,2012,к вопросу о методологии и методике оценки эффективности прокурорского надзора,"Капинус О.С., Андреев Б.В., Казарина А.Х.",37,20462409,ВНДН
ВНДН,Управление городом: теория и практика,2012,к вопросу о научной обоснованности методов исследования предпринимательства,"Сергеева Т.С., Стариков Н.В.",0,18846215,ВНДН
ВНДН,"Вестник Белгородского университета кооперации, экономики и права ",2012,к вопросу о разработке и реализации новой предпринимательской идеи,"Матузенко Е.В., Воронков А.В.",15,18378957,ВНДН
ВНДН,Вестник Санкт-Петербургского университета МВД России,2012,к вопросу об оценке экономической безопасности страны,Федораев С.В.,4,18919653,ВНДН
ВНДН,Труды Научно-исследовательского института радио,2012,к вопросу определения социоэкономического полезного эффекта от внедрения новых инфокоммуникационных технологий,"Бутенко В.В., Назаренко А.П., Сарьян В.К., Сущенко Н.А.",7,17879166,ВНДН
ВНДН,Национальные интересы: приоритеты и безопасность,2012,к вопросу прямого государственного финансирования развития малого бизнеса на севере российской федерации,Залкинд Е.А.,1,18261758,ВНДН
ВНДН,Менеджмент качества в сфере здравоохранения и социального развития,2012,качество жизни людей и медицина (статистический анализ связи средней ожидаемой продолжительности жизни и качества медицинской помощи),"Адлер Ю.П., Корначев А.С., Брынза Н.С., Мазуркевич В.В.",6,17871533,ВНДН
ВНДН,"Вестник экономики, права и социологии ",2012,количественная характеристика неформальной занятости населения,Белов Е.А.,2,19624680,ВНДН
ВНДН,Современные исследования социальных проблем (электронный научный журнал),2012,"комплексная оценка состояния здоровья и качество жизни подростков города кемерово и факторы, влияющие на него","Турчанинов Д.В., Анфиногенова О.Б., Скоморин М.С.",19,17854864,ВНДН
ВНДН,Социология,2012,концепция анализа базовго слоя как возможной альтернативы среднему классу в белорусском обществе,Соколова Г.Н.,1,24183471,ВНДН
ВНДН,Современные исследования социальных проблем (электронный научный журнал),2012,коренные народы на пути устойчивого развития: традиционное природопользование и проблемы сохранения природно-культурного наследия (опыт алтае-саянского экорегиона),Поддубиков В.В.,21,17855246,ВНДН
ВНДН,ЭГО: Экономика. Государство. Общество,2012,"коррупция в армейской среде: состояние, причины и меры противодействия",Климович В.А.,0,49563839,ВНДН
ВНДН,Вестник Московского университета. Серия 5: География,2012,крупнейшие агломерации кнр в системе глобальных городов,"Чубаров И.Г., Слука Н.А.",14,17847945,ВНДН
ВНДН,Общество и экономика,2012,малый бизнес в современной россии,Борзенков Р.,17,17917314,ВНДН
ВНДН,Вопросы современной науки и практики. Университет им. В.И. Вернадского,2012,межрегиональная дифференциация сельскохозяйственного производства,Толмачев М.Н.,15,17586578,ВНДН
ВНДН,Региональная экономика: теория и практика,2012,межрегиональная неоднородность производительности труда: анализ секторной структуры,Заруцкий С.А.,1,17924805,ВНДН
ВНДН,Уровень жизни населения регионов России,2012,методика измерения относительной бедности,"Фролова Е.Б., Великанова Т.Б.",13,18060840,ВНДН
ВНДН,Вестник Иркутского государственного технического университета,2012,методика определения пропускной способности остановочных пунктов городского пассажирского транспорта,"Фомин Е.В., Фадеев А.И.",5,17702166,ВНДН
ВНДН,Проблемы современной экономики (Новосибирск),2012,методические подходы к оценке эффективности регулирования межрегионального сотрудничества,Лезина Е.Г.,3,20587840,ВНДН
ВНДН,Региональная экономика: теория и практика,2012,методический подход к оценке влияния вуза на социально-экономическое развитие региона,"Панов С.А., Пахомова Е.А., Пахомов А.В., Крупнева Ю.В.",2,17296914,ВНДН
ВНДН,Социология,2012,методологические и методические особенности изучения протестного потенциала молодежи,"Филинская Л.В., Мартинкевич А.В.",9,24083085,ВНДН
ВНДН,Мир экономики и права,2012,методологический атлас исследования социального капитала,Полякова О.В.,1,17990136,ВНДН
ВНДН,Городское управление,2012,методология и механизмы управления устойчивым развитием крупных городов,Зарипова Д.А.,1,20159995,ВНДН
ВНДН,Общество и экономика,2012,"методология статистики статистическое изучение социально-демографических аспектов, связанных с постарением населения","",0,17797251,ВНДН
ВНДН,Проблемы экономики,2012,методы статистического анализа для исследования межнациональных различий в оплате труда в россии,Родионова Л.А.,0,17657839,ВНДН
ВНДН,Вопросы структуризации экономики,2012,механизм организации мониторинга апк региона,"Дохолян С.В., Эмиргамзаев Д.Г.",2,21035788,ВНДН
ВНДН,Вопросы экономики,2012,микроанализ российской пенсионной системы,"Гурвич Е., Сонина Ю.",62,17305332,"РМЭЗ, ВНДН"
ВНДН,Бренд-менеджмент,2012,мода и демонстративное потребление в россии,"Андреева А.Н., Марми Е.В.",14,17735596,ВНДН
ВНДН,Пространство и Время,2012,модели противодействия терроризму: обзор,Шумов В.В.,8,17881850,ВНДН
ВНДН,Наука и экономика,2012,моделирование регионального ипотечного потенциала: эконометрический подход,Васкевич Т.В.,1,18777472,ВНДН
ВНДН,Банковский вестник,2012,моделирование уровня проблемных банковских кредитов в странах снг и балтии,Власенко М.,3,39188164,ВНДН
ВНДН,Вестник Ульяновской государственной сельскохозяйственной академии,2012,мониторинг участия населения ульяновской области в программе инвестирования пенсионных накоплений,"Тарасова Е.А., Богапова М.Р.",10,20682101,ВНДН
ВНДН,Вестник Тамбовского университета. Серия: Гуманитарные науки,2012,мотивационные составляющие участников волонтерского / добровольческого движения,Великанова Е.В.,8,17909514,ВНДН
ВНДН,Экономика и социум,2012,о достоверности показателей доходов населения,Рогачева О.А.,3,26196306,ВНДН
ВНДН,Известия Оренбургского государственного аграрного университета,2012,о мерах по дальнейшему расширению производства мяса в карачаево-черкесской республике,"Шевхужева Л.А., Арова О.З., Шевхужева С.А.",6,17738065,ВНДН
ВНДН,Уровень жизни населения регионов России,2012,о мерах по повышению доходов населения и сокращению бедности,Антонова Н.А.,3,18060838,ВНДН
ВНДН,Вестник НГУЭУ,2012,о проверке фактической репрезентативности социальной выборки,"Глинский В.В., Гусев Ю.В., Овечкина Н.И., Шмарихина Е.С.",7,17673432,ВНДН
ВНДН,Вестник Белорусской государственной сельскохозяйственной академии,2012,о содержании и составе инвестиций в человеческий ресурс в сельском хозяйстве,"Ковель П.В., Миренкова И.В.",1,32247290,ВНДН
ВНДН,Проблемы прогнозирования,2012,о справедливом распределении благ в обществе (очерк современных представлений),Подузов А.А.,3,18201772,ВНДН
ВНДН,Вестник НГУЭУ,2012,об одном подходе к определению пороговых значений в решении задачи классификации,Серга Л.К.,28,17635940,ВНДН
ВНДН,Финансы и кредит,2012,обзор основных обобщенных моделей оценки инвестиционных навыков управляющих,"Семушин А.В., Паршаков П.А.",2,17266937,ВНДН
ВНДН,Вестник Томского государственного университета. Экономика,2012,обобщение результатов статистического наблюдения за динамикой развития информационного общества,Ковалева Т.Ю.,1,17690480,ВНДН
ВНДН,Известия высших учебных заведений. Уральский регион,2012,"образ жизни и производственные факторы риска для здоровья работающих на оао """"чтпз"""" как основа для совершенствования профилактики заболеваемости","Тюков Ю.А., Урбанская Е.В.",0,18046766,ВНДН
ВНДН,Вестник транспорта,2012,организация пассажирских перевозок на автомобильном транспорте,Сакульева Т.Н.,14,18396399,ВНДН
ВНДН,Врач,2012,"основные факторы, определяющие состояние здоровья взрослого населения промышленного города","Калинкин Д., Карпов А., Тахауов Р., Хлынин С., Кубат И., Ковальчук Е.",3,18253489,ВНДН
ВНДН,Вестник КрасГАУ,2012,особенности формирования человеческого капитала сельских территорий красноярского края,Колоскова Ю.И.,5,17345863,ВНДН
ВНДН,Вестник Северо-Кавказского гуманитарного института,2012,отраслевые союзы и объединения предпринимателей в системе поддержки экспорта,Блудова С.Н.,1,18374454,ВНДН
ВНДН,Историческая демография,2012,оценка демографической ситуации в республике таджикистан,Мирзоев С.С.,1,25774428,ВНДН
ВНДН,Ярославский педагогический вестник,2012,оценка достоверности статистических данных по численности населения россии,Ольхов А.А.,0,18895097,ВНДН
ВНДН,Уровень жизни населения регионов России,2012,оценка жилищных условий населения в республике саха (якутия),Барашкова А.С.,3,17298747,ВНДН
ВНДН,Современные исследования социальных проблем (электронный научный журнал),2012,оценка качества жизни трудящихся промышленных предприятий архангельской области,"Варакина Ж.Л., Вязьмин А.М., Санников А.Л., Микляева Е.В.",3,18071016,ВНДН
ВНДН,Вестник Московской государственной академии делового администрирования. Серия: Экономика,2012,оценка современного уровня финансово-экономической грамотности учащихся общеобразовательных учреждений,"Абанина И.Н., Казенина А.А.",2,17801425,ВНДН
ВНДН,Инновации,2012,"оценка уровня социально-экономического развития российских регионов, полученная на основе сравнительного анализа данных различных источников",Лубашев Е.А.,0,21600347,ВНДН
ВНДН,Финансы и кредит,2012,оценка факторов и прогнозирование динамики ипотечного жилищного кредитования в российской федерации,Савруков А.Н.,4,17797166,ВНДН
ВНДН,Научное обозрение. Серия 2: Гуманитарные науки,2012,переписи населения: вчера и сегодня,Долбик-Воробей Т.А.,2,18270158,ВНДН
ВНДН,Инновации на основе информационных и коммуникационных технологий,2012,подходы к измерению теневой составляющей экономической деятельности,"Степанова Е.Г., Волков А.Ю., Кутькина О.О., Моисеев А.В., Тананаев В.Д.",1,18908018,ВНДН
ВНДН,Научные труды: Институт народнохозяйственного прогнозирования РАН,2012,подходы к моделированию динамики заработной платы на отраслевом уровне,Ахундова О.В.,0,18075256,"РМЭЗ, ВНДН"
ВНДН,Экономические и гуманитарные науки,2012,понятие и исторические аспекты развития статистического учета,"Попова Л.В., Ноздрунова Н.Г.",0,17729679,ВНДН
ВНДН,Региональная экономика: теория и практика,2012,понятие и структура активов территории,Габидинова Г.С.,6,17644788,ВНДН
ВНДН,Вестник Воронежского государственного университета. Серия: История. Политология. Социология,2012,потребительские практики воронежских студентов (социологическая зарисовка,Красова Е.Ю.,13,18240104,ВНДН
ВНДН,Качество. Инновации. Образование,2012,"предложения по управлению нормированием труда, влияющие на конкурентоспособность продукции и хозяйственного субъекта",Долгов Д.И.,0,17695733,ВНДН
ВНДН,Социально-экономическое управление: теория и практика,2012,принципы оценки уровня жизни населения,Исаева С.А.,0,25983841,ВНДН
ВНДН,Социальные аспекты здоровья населения,2012,проблема использования информации о биологических характеристиках микобактерий туберкулеза в практике борьбы с туберкулезом в россии,"Попов С.А., Сабгайда Т.П.",1,18765827,ВНДН
ВНДН,Экономика и предпринимательство,2012,проблемы анализа состояния потребительского рынка на муниципальном уровне,"Капелюк С.Д., Гурьянов Т.И.",6,17880588,ВНДН
ВНДН,Экономические системы,2012,проблемы организационно-технического регулирования конкурентоспособности в условиях глобализации,Ураков Д.С.,0,22474480,ВНДН
ВНДН,Современные тенденции в экономике и управлении: новый взгляд,2012,проблемы развития малого бизнеса в россии,Болдырева Н.П.,0,20882070,ВНДН
ВНДН,Актуальные проблемы экономики и права,2012,проблемы статистических оценок в туризме,Овчаров А.О.,6,17356104,ВНДН
ВНДН,"Исторические, философские, политические и юридические науки, культурология и искусствоведение. Вопросы теории и практики ",2012,проблемы формирования здорового образа жизни в контексте реализации стратегии развития физической культуры и спорта в российской федерации,Алексеева А.П.,1,17892719,ВНДН
ВНДН,Журнал российского права,2012,проведение сравнительно-правовых исследований: проблемы методологии,"Мещерякова М.А., Нанба С.Б.",9,43922318,ВНДН
ВНДН,Агропродовольственная политика России,2012,прогнозирование спроса на агрообразовательные услуги,"Гребенщиков И.А., Балаболин В.Г., Леонтьева М.М.",0,18870837,ВНДН
ВНДН,Общественное здоровье и здравоохранение,2012,профессиональная безопасность и качество жизни работников железнодорожного транспорта на севере,"Варакина Ж.Л., Вязьмин А.М., Санников А.Л., Голубева М.В., Тишкина С.В.",1,18402907,ВНДН
ВНДН,Вестник ТОГИРРО,2012,профессиональный потенциал молодых преподавателей провинциальных вузов,"Гаврилюк В.В., Майер В.В., Маленков В.В., Мехришвили Л.Л., Скок Н.И., Трушников Д.Ю., Фарахутдинов Ш.Ф.",5,18137438,ВНДН
ВНДН,Право и образование,2012,процесс и структура конкретного социологического исследования,"Голиков В.Д., Колесников В.А., Амиров А.Р.",0,17948563,ВНДН
ВНДН,Социология образования,2012,пути оптимизации образовательных процессов: потенциал экономической психологии,"Спасенников В.В., Задорожнюк И.Е.",26,18193209,ВНДН
ВНДН,Вестник КазЭУ,2012,пути совершенствования измерения благосостояния домохозяйств в республике казахстан,Нуржаубаева Р.Д.,0,45827291,ВНДН
ВНДН,Вестник Ростовского государственного экономического университета (РИНХ),2012,развитие региональной экономики в условиях становления нового типа федерации,Щемелев С.Н.,5,17715381,ВНДН
ВНДН,Экономические науки,2012,разработка методики оценки наиболее значимых элементов в структуре социально-экономического потенциала региона как основа эффективного управления устойчивым развитием социально-экономических систем,"Мамбетова Ф.М., Ахабекова И.А.",3,17937754,ВНДН
ВНДН,Региональная экономика: теория и практика,2012,реализация функций домашних хозяйств в региональной экономике,Подольная Н.Н.,2,17924807,ВНДН
ВНДН,Историческая демография,2012,региональные особенности демографического развития в приморском крае,Ушакова В.Л.,0,25774420,ВНДН
ВНДН,Вестник Алтайского государственного аграрного университета,2012,"результаты мониторинга """"проблемы малого бизнеса в алтайском крае""""","Гражданкина О.А., Гражданкин В.А., Киркеева Л.И.",4,17328047,ВНДН
ВНДН,Вестник Южно-Российского государственного технического университета (НПИ). Серия: Социально-экономические науки,2012,реформирование института пенсионирования и отношения коммунитарности и солидарности,"Харченко А.В., Бондаренко О.В.",0,18247695,ВНДН
ВНДН,Региональная экономика: теория и практика,2012,родительский труд в малых городах россии: опыт экономико-статистического исследования в уральском регионе,"Шубат О.М., Пшеничникова М.М.",5,17657938,ВНДН
ВНДН,Дайджест-финансы,2012,родительский труд в малых городах россии: опыт экономико-статистического исследования в уральском регионе,"Шубат О.М., Пшеничникова М.М.",1,17752419,ВНДН
ВНДН,Проблемы экономики (Харьков),2012,роль институциональных факторов в процессах безработицы на региональных рынках труда россии в 1995–2010 гг,"Курзенев В.А., Перекрест В.Т.",0,18166514,ВНДН
ВНДН,Эффективное антикризисное управление,2012,роль малого среднего бизнеса в социально-экономическом развитии моногородов,Резникова E.В.,0,17797213,ВНДН
ВНДН,Новая и новейшая история,2012,российские военные поселения xix века глазами европейцев восприятие военных поселений россии европейцами в 10–20-х годах xix в,Кандаурова Т.Н.,6,18080615,ВНДН
ВНДН,Современные исследования социальных проблем (электронный научный журнал),2012,связь уровней образования и дохода: причины и последствия несоответствия,"Чистяков Ю.Р., Гартман И.А., Забродоцкая О.А.",12,17831029,ВНДН
ВНДН,Вестник Томского государственного университета. Экономика,2012,сегментация рынка труда: междисциплинарный подход,"Нехода Е.В., Кучинова Э.С.",17,18281609,ВНДН
ВНДН,Вестник Сибирского университета потребительской кооперации,2012,система информационного обеспечения маркетинга регионального продовольственного рынка,Богер И.Б.,0,18981443,ВНДН
ВНДН,Вестник Саратовского государственного социально-экономического университета,2012,совершенствование институтов преодоления продовольственной бедности,Решетникова Е.Г.,28,18355362,ВНДН
ВНДН,Казанская наука,2012,совершенствование методики оценки состояния потребительского рынка,Гурьянов Т.И.,9,17892107,ВНДН
ВНДН,Интеллект. Инновации. Инвестиции,2012,совершенствование методологии статистического исследования качества услуг населению на рынках муниципальных образований,"Афанасьев В.Н., Журавлев С.А.",1,18641481,ВНДН
ВНДН,"Каспийский регион: политика, экономика, культура ",2012,совершенствование системы управления в интегрированных корпоративных судостроительных образованиях на национальном и территориальном уровнях,"Барковская О.П., Лунев А.П.",0,18259588,ВНДН
ВНДН,Алтайский вестник государственной и муниципальной службы,2012,создание делового климата для интенсивного развития предпринимательства в алтайском крае,Гражданкин В.А.,0,23524555,ВНДН
ВНДН,Защита информации. Инсайд,2012,создание эффективной системы экономической безопасности для снижения предпринимательских рисков,Васильев Н.Д.,8,23063472,ВНДН
ВНДН,Вопросы экономики,2012,социальная политика в европейском общественном мнении: субъективный контракт между обществом и государством,Монусова Г.,15,17737956,ВНДН
ВНДН,Alma Mater (Вестник высшей школы),2012,социальная стратификация как проблема педагогической теории и практики,Башманова Е.Л.,2,17891767,ВНДН
ВНДН,"Экономика и управление: проблемы, решения ",2012,"социально-экономическая сущность и характерные черты некоммерческих организаций, тенденции развития",Гусарова Л.В.,1,21191949,ВНДН
ВНДН,Вестник Казанского технологического университета,2012,социальное самочувствие молодежи этнических групп в регионах российской федерации (на примере республики татарстан),"Зинурова Р.И., Фатыхова Ф.Ф., Липатова Т.Н., Алексеев С.А.",3,18189424,ВНДН
ВНДН,Теория и практика общественного развития,2012,"социальное самочувствие: измерительный инструментарий, показатели и социальные критерии",Асланова О.А.,70,17753457,ВНДН
ВНДН,Социология медицины,2012,социология обязательного медицинского страхования (часть 1),Решетников А.В.,14,18021740,ВНДН
ВНДН,Жизнь без опасностей. Здоровье. Профилактика. Долголетие,2012,сравнительный анализ систем охраны здоровья населения в странах с различным уровнем социально-экономического развития,"Нуман А.С.А., Зарубина А.В., Лебедев А.А., Дубынина Е.И.",0,18237750,ВНДН
ВНДН,Региональная экономика: теория и практика,2012,статистическая оценка дифференциации населения ульяновской области по уровню доходов,"Барченко Н.М., Киселева О.В.",0,17291650,ВНДН
ВНДН,Вестник Санкт-Петербургского университета МВД России,2012,статистические методы в системе противодействия теневым экономическим явлениям,"Квитчук М.А., Грачев А.В., Квитчук А.С.",3,17893243,ВНДН
ВНДН,Инновации,2012,статистические показатели в системе анализа страхового рынка,"Петров А.П., Дюкина Т.О.",2,21397748,ВНДН
